         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    1.676    1.676 /home/seb/Desktop/HdrProject/ace.py:80(ace)
        1    0.000    0.000    1.669    1.669 /home/seb/Desktop/HdrProject/ace.py:36(csa)
        1    0.000    0.000    1.656    1.656 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
      5/1    0.000    0.000    1.626    1.626 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:915(compile)
      3/1    0.000    0.000    1.625    1.625 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:124(compile)
      3/1    0.000    0.000    1.625    1.625 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:131(_compile_cached)
      3/1    0.000    0.000    1.625    1.625 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:146(_compile_core)
      3/1    0.000    0.000    1.625    1.625 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:667(compile_extra)
      4/1    0.000    0.000    1.274    1.274 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:423(compile_extra)
      4/1    0.000    0.000    1.273    1.273 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:492(_compile_bytecode)
      4/1    0.000    0.000    1.273    1.273 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:446(_compile_core)
      4/1    0.001    0.000    1.272    1.272 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler_machinery.py:327(run)
   100/25    0.001    0.000    1.271    0.051 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
   100/25    0.004    0.000    1.270    0.051 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler_machinery.py:264(_runPass)
   300/75    0.001    0.000    1.267    0.017 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler_machinery.py:268(check)
      4/3    0.001    0.000    0.956    0.319 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:365(run_pass)
      4/1    0.000    0.000    0.864    0.864 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:98(run_pass)
      4/1    0.000    0.000    0.863    0.863 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:61(type_inference_stage)
      4/1    0.000    0.000    0.856    0.856 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1067(propagate)
      8/2    0.003    0.000    0.855    0.428 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:142(propagate)
   134/38    0.003    0.000    0.842    0.022 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:580(resolve)
   150/42    0.000    0.000    0.839    0.020 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:189(resolve_function_type)
   134/38    0.000    0.000    0.838    0.022 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1517(resolve_call)
   150/42    0.001    0.000    0.838    0.020 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
    54/12    0.001    0.000    0.820    0.068 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:570(__call__)
        4    0.000    0.000    0.812    0.203 /home/seb/.local/lib/python3.8/site-packages/numba/core/types/functions.py:534(get_call_type)
        4    0.000    0.000    0.812    0.203 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:348(get_call_template)
      4/3    0.000    0.000    0.649    0.216 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:178(lower)
      4/3    0.000    0.000    0.598    0.199 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:229(lower_normal_function)
      4/3    0.001    0.000    0.593    0.198 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:246(lower_function_body)
    41/21    0.004    0.000    0.592    0.028 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:270(lower_block)
  463/245    0.006    0.000    0.585    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:419(lower_inst)
  196/108    0.001    0.000    0.544    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:601(lower_assign)
    93/59    0.001    0.000    0.532    0.009 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:1120(lower_expr)
    31/19    0.002    0.000    0.457    0.024 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:677(lower_binop)
    78/44    0.000    0.000    0.448    0.010 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:1200(__call__)
    78/44    0.002    0.000    0.447    0.010 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:1229(wrapper)
        2    0.000    0.000    0.396    0.198 /home/seb/.local/lib/python3.8/site-packages/numba/cpython/numbers.py:207(int_power_impl)
        2    0.000    0.000    0.396    0.198 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:887(compile_internal)
        2    0.000    0.000    0.391    0.196 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:858(compile_subroutine)
        1    0.000    0.000    0.391    0.391 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:820(_compile_subroutine_no_cache)
        1    0.000    0.000    0.373    0.373 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:760(compile_internal)
        4    0.000    0.000    0.356    0.089 /home/seb/.local/lib/python3.8/site-packages/numba/core/compiler.py:381(__init__)
   183/13    0.001    0.000    0.282    0.022 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:269(refresh)
        1    0.231    0.231    0.231    0.231 {imread}
      183    0.006    0.000    0.216    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/cpu.py:69(load_additional_registries)
4410/4199    0.006    0.000    0.206    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
  233/146    0.003    0.000    0.205    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
   126/39    0.001    0.000    0.199    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   193/39    0.000    0.000    0.196    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   120/39    0.001    0.000    0.195    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
   101/39    0.001    0.000    0.193    0.005 <frozen importlib._bootstrap_external>:777(exec_module)
   114/39    0.017    0.000    0.182    0.005 {built-in method builtins.exec}
   187/17    0.001    0.000    0.182    0.011 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:153(refresh)
     1744    0.107    0.000    0.180    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/ffi.py:149(__call__)
      160    0.012    0.000    0.177    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/types/functions.py:281(get_call_type)
    56/32    0.000    0.000    0.170    0.005 {built-in method builtins.__import__}
       40    0.002    0.000    0.151    0.004 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:70(run)
   187/17    0.001    0.000    0.151    0.009 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:415(_load_builtins)
 1870/170    0.018    0.000    0.151    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:428(install_registry)
        3    0.000    0.000    0.141    0.047 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:283(create_cpython_wrapper)
        3    0.000    0.000    0.141    0.047 /home/seb/.local/lib/python3.8/site-packages/numba/core/cpu.py:175(create_cpython_wrapper)
    22/15    0.000    0.000    0.135    0.009 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:566(_ensure_finalized)
        4    0.000    0.000    0.135    0.034 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:740(finalize)
        9    0.000    0.000    0.120    0.013 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:724(add_ir_module)
        3    0.000    0.000    0.119    0.040 /home/seb/.local/lib/python3.8/site-packages/numba/core/cpu.py:216(get_executable)
